Date,COL,NG,OTH,SUN,WAT,WND
2023-01-01,116195.0,31078.0,20609.0,16145.0,12377.0,12438.0
2023-01-02,131192.0,47873.0,26254.0,21460.0,16944.0,3205.0
2023-01-03,139840.0,64169.0,24548.0,23865.0,12909.0,13041.0
2023-01-04,138750.0,62260.0,22091.0,5205.0,6385.0,12432.0
2023-01-05,97901.0,96371.0,24521.0,7540.0,1272.0,16718.0
2023-01-06,59590.0,96070.0,23344.0,30210.0,5627.0,10332.0
2023-01-07,55593.0,105263.0,23204.0,15975.0,7285.0,762.0
2023-01-08,65915.0,85276.0,23832.0,19470.0,5478.0,17819.0
2023-01-09,56340.0,106614.0,26402.0,6655.0,14396.0,22306.0
2023-01-10,63312.0,87960.0,19576.0,12940.0,15889.0,29781.0
2023-01-11,59620.0,85258.0,22059.0,20565.0,20779.0,11163.0
2023-01-12,57283.0,73242.0,24581.0,23405.0,26723.0,499.0
2023-01-13,65276.0,76327.0,22046.0,17455.0,8996.0,4136.0
2023-01-14,62003.0,77471.0,22251.0,4970.0,1658.0,16266.0
2023-01-15,51666.0,79298.0,20691.0,15900.0,6541.0,25618.0
2023-01-16,48931.0,77832.0,21501.0,22690.0,7529.0,13309.0
2023-01-17,61527.0,91767.0,22706.0,24850.0,9387.0,6325.0
2023-01-18,54033.0,106317.0,24157.0,32350.0,9338.0,947.0
2023-01-19,66785.0,98721.0,24255.0,24760.0,11878.0,11620.0
2023-01-20,62146.0,100412.0,23963.0,34305.0,10792.0,6592.0
2023-01-21,56732.0,82100.0,22153.0,34415.0,5470.0,499.0
2023-01-22,54242.0,69550.0,21485.0,33905.0,5314.0,8187.0
2023-01-23,54612.0,92753.0,15783.0,34155.0,11116.0,10447.0
2023-01-24,58225.0,96329.0,24484.0,35260.0,13938.0,89.0
2023-01-25,68891.0,94683.0,24704.0,35035.0,14049.0,150.0
2023-01-26,60444.0,72695.0,23981.0,35185.0,11983.0,1468.0
2023-01-27,55974.0,60903.0,23680.0,35850.0,1859.0,10533.0
2023-01-28,42739.0,65876.0,22407.0,35695.0,6851.0,3290.0
2023-01-29,54789.0,86138.0,22107.0,30030.0,8577.0,15135.0
