Date,D,DF,NetGen,TI,COL,NatGas,OTH,SUN,WAT,WND,diff_demand_minus_netgen,non_renewable,diff_demand_minus_nonrenewable,renewable,diff_demand_minus_renewable
2023-01-01,58204.0,56643.0,39907.0,-18297.0,22230.0,5559.0,4101.0,3096.0,1015.0,3906.0,18297.0,31890.0,26314.0,8017.0,50187.0
2023-01-02,58850.0,54707.0,46676.0,-12174.0,25889.0,7240.0,5123.0,4408.0,3402.0,614.0,12174.0,38252.0,20598.0,8424.0,50426.0
2023-01-03,63598.0,52779.0,54075.0,-9523.0,27926.0,12074.0,5194.0,4577.0,2174.0,2130.0,9523.0,45194.0,18404.0,8881.0,54717.0
2023-01-04,64796.0,59017.0,51526.0,-13270.0,27739.0,13444.0,4301.0,1282.0,2286.0,2474.0,13270.0,45484.0,19312.0,6042.0,58754.0
2023-01-05,61494.0,62378.0,51614.0,-9880.0,23507.0,17928.0,4804.0,1502.0,987.0,2886.0,9880.0,46239.0,15255.0,5375.0,56119.0
2023-01-06,58897.0,63116.0,45423.0,-13474.0,13403.0,17821.0,4894.0,5648.0,247.0,3410.0,13474.0,36118.0,22779.0,9305.0,49592.0
2023-01-07,56277.0,61116.0,40098.0,-16179.0,11546.0,19261.0,4546.0,3484.0,1228.0,33.0,16179.0,35353.0,20924.0,4745.0,51532.0
2023-01-08,55663.0,58818.0,45415.0,-10248.0,11680.0,21251.0,4652.0,3808.0,1388.0,2636.0,10248.0,37583.0,18080.0,7832.0,47831.0
2023-01-09,59313.0,59211.0,42788.0,-16525.0,12772.0,17380.0,5209.0,1538.0,2221.0,3668.0,16525.0,35361.0,23952.0,7427.0,51886.0
2023-01-10,62895.0,61055.0,46551.0,-16344.0,11298.0,20621.0,4380.0,2403.0,2071.0,5778.0,16344.0,36299.0,26596.0,10252.0,52643.0
2023-01-11,61568.0,63933.0,46038.0,-15530.0,11836.0,18257.0,4247.0,4132.0,3343.0,4223.0,15530.0,34340.0,27228.0,11698.0,49870.0
2023-01-12,60586.0,65122.0,41918.0,-18668.0,12787.0,13577.0,4599.0,4566.0,6260.0,129.0,18668.0,30963.0,29623.0,10955.0,49631.0
2023-01-13,62459.0,64042.0,39399.0,-23060.0,12173.0,14353.0,4691.0,3608.0,4260.0,314.0,23060.0,31217.0,31242.0,8182.0,54277.0
2023-01-14,64604.0,60864.0,36639.0,-27965.0,13413.0,15177.0,4495.0,1140.0,324.0,2090.0,27965.0,33085.0,31519.0,3554.0,61050.0
2023-01-15,61905.0,58125.0,38903.0,-23002.0,9676.0,16350.0,4025.0,3131.0,362.0,5359.0,23002.0,30051.0,31854.0,8852.0,53053.0
2023-01-16,63851.0,58664.0,37744.0,-26107.0,9795.0,15726.0,4228.0,4270.0,1296.0,2429.0,26107.0,29749.0,34102.0,7995.0,55856.0
2023-01-17,67149.0,59314.0,41971.0,-25178.0,11767.0,16623.0,4463.0,4857.0,1539.0,2722.0,25178.0,32853.0,34296.0,9118.0,58031.0
2023-01-18,68214.0,63746.0,47534.0,-20680.0,11236.0,22416.0,4896.0,6452.0,2127.0,407.0,20680.0,38548.0,29666.0,8986.0,59228.0
2023-01-19,68660.0,65673.0,46276.0,-22384.0,12921.0,18972.0,4767.0,5094.0,2461.0,2061.0,22384.0,36660.0,32000.0,9616.0,59044.0
