Date,D,DF,NG,TI
2023-01-01,56952.0,56473.0,42005.0,-14947.0
2023-01-02,60069.0,51572.0,49484.0,-10585.0
2023-01-03,64278.0,53633.0,55668.0,-8610.0
2023-01-04,64455.0,62176.0,49418.0,-15037.0
2023-01-05,60312.0,62695.0,48704.0,-11608.0
2023-01-06,58605.0,63706.0,44964.0,-13641.0
2023-01-07,55202.0,59580.0,41766.0,-13436.0
2023-01-08,55345.0,58458.0,43543.0,-11802.0
2023-01-09,63346.0,59293.0,46520.0,-16826.0
2023-01-10,61408.0,62550.0,45988.0,-15420.0
2023-01-11,61528.0,64876.0,43880.0,-17648.0
2023-01-12,59397.0,65157.0,41084.0,-18313.0
2023-01-13,64383.0,62897.0,38683.0,-25700.0
2023-01-14,65056.0,60088.0,36910.0,-28146.0
2023-01-15,60873.0,57342.0,39877.0,-20996.0
2023-01-16,64863.0,59115.0,38644.0,-26219.0
2023-01-17,68050.0,59734.0,43358.0,-24692.0
2023-01-18,68354.0,65952.0,45317.0,-23037.0
2023-01-19,69319.0,65025.0,47640.0,-21679.0
2023-01-20,67916.0,64383.0,47597.0,-20319.0
2023-01-21,64484.0,60564.0,40146.0,-24338.0
2023-01-22,63179.0,59579.0,38610.0,-24569.0
2023-01-23,66388.0,65552.0,43935.0,-22453.0
2023-01-24,68072.0,64065.0,45589.0,-22483.0
2023-01-25,68093.0,63789.0,47532.0,-20561.0
2023-01-26,64464.0,61941.0,40871.0,-23593.0
2023-01-27,68246.0,61431.0,38023.0,-30223.0
2023-01-28,60227.0,57553.0,35399.0,-24828.0
2023-01-29,59665.0,55912.0,43487.0,-16178.0
2023-01-30,65929.0,63476.0,59006.0,-6923.0
2023-01-31,66714.0,64003.0,51046.0,-15668.0
2023-02-01,67950.0,64335.0,47745.0,-20205.0
2023-02-02,66682.0,64065.0,40585.0,-26097.0
2023-02-03,62756.0,61148.0,38192.0,-24564.0
2023-02-04,60889.0,56152.0,38496.0,-22393.0
2023-02-05,59430.0,53943.0,37846.0,-21584.0
2023-02-06,64279.0,59565.0,37686.0,-26593.0
2023-02-07,62834.0,60353.0,42145.0,-20689.0
2023-02-08,64367.0,60448.0,43120.0,-21247.0
2023-02-09,62990.0,60656.0,44462.0,-18528.0
