Date,D,DF,NG,TI
2023-01-01 00:00:00,2712.0,2545.0,1699.0,-1013.0
2023-01-01 01:00:00,2813.0,2638.0,1916.0,-897.0
2023-01-01 02:00:00,2801.0,2862.0,2000.0,-801.0
2023-01-01 03:00:00,2824.0,2851.0,1865.0,-959.0
2023-01-01 04:00:00,2782.0,2761.0,1983.0,-799.0
2023-01-01 05:00:00,2803.0,2676.0,1870.0,-933.0
2023-01-01 06:00:00,2731.0,2607.0,1629.0,-1102.0
2023-01-01 07:00:00,2638.0,2528.0,1601.0,-1037.0
2023-01-01 08:00:00,2540.0,2456.0,1573.0,-967.0
2023-01-01 09:00:00,2433.0,2343.0,1552.0,-881.0
2023-01-01 10:00:00,2353.0,2262.0,1530.0,-823.0
2023-01-01 11:00:00,2269.0,2193.0,1740.0,-529.0
2023-01-01 12:00:00,2232.0,2141.0,1722.0,-510.0
2023-01-01 13:00:00,2188.0,2112.0,1667.0,-521.0
2023-01-01 14:00:00,2186.0,2102.0,1641.0,-545.0
2023-01-01 15:00:00,2218.0,2114.0,1704.0,-514.0
2023-01-01 16:00:00,2099.0,2120.0,1493.0,-606.0
2023-01-01 17:00:00,2088.0,2156.0,1592.0,-496.0
2023-01-01 18:00:00,2168.0,2162.0,1527.0,-641.0
2023-01-01 19:00:00,2189.0,2160.0,1572.0,-617.0
2023-01-01 20:00:00,2231.0,2170.0,1412.0,-819.0
2023-01-01 21:00:00,2232.0,2193.0,1491.0,-741.0
2023-01-01 22:00:00,2313.0,2219.0,1580.0,-733.0
2023-01-01 23:00:00,2361.0,2272.0,1548.0,-813.0
2023-01-02 00:00:00,2409.0,2361.0,1567.0,-842.0
2023-01-02 01:00:00,2430.0,2504.0,1883.0,-547.0
2023-01-02 02:00:00,2643.0,2773.0,2184.0,-459.0
2023-01-02 03:00:00,2694.0,2831.0,2222.0,-472.0
2023-01-02 04:00:00,2663.0,2794.0,2235.0,-428.0
2023-01-02 05:00:00,2741.0,2752.0,2278.0,-463.0
2023-01-02 06:00:00,2695.0,2694.0,2204.0,-491.0
2023-01-02 07:00:00,2577.0,2589.0,2088.0,-489.0
2023-01-02 08:00:00,2503.0,2466.0,1939.0,-564.0
2023-01-02 09:00:00,2338.0,2373.0,1946.0,-392.0
2023-01-02 10:00:00,2232.0,2304.0,1955.0,-277.0
2023-01-02 11:00:00,2175.0,2243.0,1936.0,-239.0
2023-01-02 12:00:00,2134.0,2200.0,1928.0,-206.0
2023-01-02 13:00:00,2149.0,2176.0,1944.0,-205.0
2023-01-02 14:00:00,2208.0,2176.0,1932.0,-276.0
2023-01-02 15:00:00,2210.0,2192.0,1878.0,-332.0
2023-01-02 16:00:00,2172.0,2178.0,1592.0,-580.0
2023-01-02 17:00:00,2395.0,2181.0,1756.0,-639.0
2023-01-02 18:00:00,2416.0,1893.0,1879.0,-537.0
2023-01-02 19:00:00,2519.0,1826.0,1914.0,-605.0
2023-01-02 20:00:00,2531.0,1783.0,1797.0,-734.0
2023-01-02 21:00:00,2640.0,1785.0,1919.0,-721.0
2023-01-02 22:00:00,2681.0,1801.0,1898.0,-783.0
2023-01-02 23:00:00,2695.0,1832.0,1802.0,-893.0
2023-01-03 00:00:00,2735.0,1905.0,2139.0,-596.0
2023-01-03 01:00:00,2817.0,2034.0,2583.0,-234.0
2023-01-03 02:00:00,2803.0,2326.0,2653.0,-150.0
2023-01-03 03:00:00,2805.0,2433.0,2595.0,-210.0
2023-01-03 04:00:00,2763.0,2437.0,2457.0,-306.0
2023-01-03 05:00:00,2731.0,2409.0,2324.0,-407.0
2023-01-03 06:00:00,2745.0,2349.0,2369.0,-376.0
2023-01-03 07:00:00,2672.0,2270.0,2349.0,-323.0
2023-01-03 08:00:00,2552.0,2171.0,2134.0,-418.0
2023-01-03 09:00:00,2333.0,2107.0,2084.0,-249.0
2023-01-03 10:00:00,2204.0,2028.0,1984.0,-220.0
2023-01-03 11:00:00,2146.0,1987.0,1873.0,-273.0
2023-01-03 12:00:00,2125.0,1976.0,1863.0,-262.0
2023-01-03 13:00:00,2161.0,2010.0,1833.0,-328.0
2023-01-03 14:00:00,2314.0,2113.0,1964.0,-350.0
2023-01-03 15:00:00,2525.0,2287.0,2057.0,-468.0
2023-01-03 16:00:00,2696.0,2382.0,2091.0,-605.0
