Date,D,DF,NetGen,TI,COL,NatGas,OTH,SUN,WAT,WND,diff_demand_minus_netgen,non_renewable,diff_demand_minus_nonrenewable,renewable,diff_demand_minus_renewable
2023-01-31,1963949.0,1890494.0,1372029.0,-591920.0,432860.0,524552.0,143278.0,148037.0,61200.0,62102.0,591920.0,1100690.0,863259.0,271339.0,1692610.0
2023-02-28,1806346.0,1698637.0,1250082.0,-556264.0,210541.0,613248.0,132492.0,184941.0,59406.0,49454.0,556264.0,956281.0,850065.0,293801.0,1512545.0
2023-03-31,1937027.0,1859840.0,1286360.0,-650667.0,179695.0,571257.0,111080.0,231396.0,124008.0,68924.0,650667.0,862032.0,1074995.0,424328.0,1512699.0
2023-04-30,1726237.0,1706868.0,1224022.0,-502215.0,102747.0,479265.0,119081.0,310892.0,171192.0,40845.0,502215.0,701093.0,1025144.0,522929.0,1203308.0
2023-05-31,1810039.0,1711224.0,1191358.0,-618681.0,141046.0,405117.0,110825.0,320495.0,169138.0,44737.0,618681.0,656988.0,1153051.0,534370.0,1275669.0
2023-06-30,1769641.0,1674545.0,1166144.0,-603497.0,135230.0,464771.0,111174.0,310302.0,98019.0,46648.0,603497.0,711175.0,1058466.0,454969.0,1314672.0
2023-07-31,2281597.0,2274392.0,2000522.0,-281075.0,357554.0,1031090.0,147250.0,313452.0,97324.0,53852.0,281075.0,1535894.0,745703.0,464628.0,1816969.0
2023-08-31,2406354.0,2398132.0,2017338.0,-389016.0,355097.0,1116593.0,144633.0,272308.0,95593.0,33114.0,389016.0,1616323.0,790031.0,401015.0,2005339.0
2023-09-30,2024685.0,2008756.0,1507280.0,-517405.0,332991.0,670038.0,123835.0,248290.0,83213.0,48913.0,517405.0,1126864.0,897821.0,380416.0,1644269.0
2023-10-31,1998798.0,1994025.0,1532885.0,-465913.0,369682.0,692806.0,117522.0,239150.0,77492.0,36233.0,465913.0,1180010.0,818788.0,352875.0,1645923.0
2023-11-30,1681367.0,1587977.0,1074956.0,-606411.0,185017.0,504586.0,125314.0,165284.0,66986.0,27769.0,606411.0,814917.0,866450.0,260039.0,1421328.0
2023-12-31,1890301.0,1782073.0,1320753.0,-569548.0,193315.0,761710.0,136883.0,142667.0,60583.0,25595.0,569548.0,1091908.0,798393.0,228845.0,1661456.0
2024-01-31,1938048.0,1835495.0,1266959.0,-671089.0,192059.0,644956.0,162354.0,155363.0,60819.0,51408.0,671089.0,999369.0,938679.0,267590.0,1670458.0
2024-02-29,1850296.0,1719900.0,1087585.0,-762711.0,161127.0,508517.0,139880.0,155982.0,61958.0,60121.0,762711.0,809032.0,1040772.0,278061.0,1571743.0
2024-03-31,1805971.0,1727396.0,1109721.0,-696250.0,162942.0,449569.0,108086.0,242345.0,63982.0,82797.0,696250.0,720597.0,1085374.0,389124.0,1416847.0
2024-04-30,1599127.0,1685730.0,996413.0,-602714.0,98928.0,391252.0,121520.0,267370.0,72776.0,44567.0,602714.0,600912.0,987427.0,384713.0,1203626.0
2024-05-31,1732957.0,1705003.0,1129075.0,-603882.0,145553.0,344177.0,119860.0,333578.0,126348.0,59559.0,603882.0,609590.0,1123367.0,519485.0,1213472.0
2024-06-30,1587946.0,1893321.0,1052451.0,-535495.0,117816.0,428367.0,117365.0,267670.0,68617.0,52616.0,535495.0,634408.0,911290.0,388903.0,1156795.0
2024-07-31,1272884.0,2373035.0,1160200.0,-112684.0,177931.0,572460.0,149600.0,184779.0,51537.0,23893.0,112684.0,836844.0,370867.0,260209.0,947502.0
2024-08-31,2346342.0,2337364.0,1936051.0,-410291.0,302233.0,975387.0,159159.0,331088.0,100942.0,67242.0,410291.0,1436779.0,909563.0,499272.0,1847070.0
2024-09-30,2089726.0,2149350.0,1856790.0,-232936.0,481477.0,806788.0,125474.0,312082.0,95759.0,35226.0,232936.0,1413739.0,675987.0,443067.0,1646659.0
2024-10-31,1915054.0,1984090.0,1747100.0,-167954.0,583283.0,615195.0,148385.0,284716.0,69813.0,45708.0,167954.0,1346863.0,568191.0,400237.0,1514817.0
2024-11-30,1561089.0,1723531.0,1427001.0,-134088.0,498541.0,480881.0,142330.0,200967.0,52040.0,52242.0,134088.0,1121752.0,439337.0,302349.0,1247612.0
2024-12-31,1794435.0,1763646.0,1442755.0,-351680.0,555100.0,469308.0,101001.0,180979.0,50840.0,85527.0,351680.0,1125409.0,669026.0,317346.0,1477089.0
