Solar_%,Wind_%,Num_Solar_Sets,Area_Solar_m2,Num_Turbines
0,100,0,0.0,1993
1,99,28374,753499.944,1973
2,98,56748,1506999.888,1953
3,97,85122,2260499.832,1933
4,96,113495,3013973.22,1913
5,95,141869,3767473.1640000003,1893
6,94,170243,4520973.108,1873
7,93,198617,5274473.052,1853
8,92,226990,6027946.44,1834
9,91,255364,6781446.384000001,1814
10,90,283738,7534946.328000001,1794
11,89,312111,8288419.716,1774
12,88,340485,9041919.66,1754
13,87,368859,9795419.604,1734
14,86,397233,10548919.548,1714
15,85,425606,11302392.936,1694
16,84,453980,12055892.88,1674
17,83,482354,12809392.824000001,1654
18,82,510727,13562866.212000001,1634
19,81,539101,14316366.156000001,1614
20,80,567475,15069866.1,1594
21,79,595849,15823366.044,1575
22,78,624222,16576839.432,1555
23,77,652596,17330339.376000002,1535
24,76,680970,18083839.32,1515
25,75,709343,18837312.708,1495
26,74,737717,19590812.652,1475
27,73,766091,20344312.596,1455
28,72,794465,21097812.54,1435
29,71,822838,21851285.928,1415
30,70,851212,22604785.872,1395
31,69,879586,23358285.816,1375
32,68,907959,24111759.204,1355
33,67,936333,24865259.148000002,1335
34,66,964707,25618759.092,1316
35,65,993081,26372259.036000002,1296
36,64,1021454,27125732.424000002,1276
37,63,1049828,27879232.368,1256
38,62,1078202,28632732.312000003,1236
39,61,1106575,29386205.7,1216
40,60,1134949,30139705.644,1196
41,59,1163323,30893205.588,1176
42,58,1191697,31646705.532,1156
43,57,1220070,32400178.92,1136
44,56,1248444,33153678.864,1116
45,55,1276818,33907178.808,1096
46,54,1305192,34660678.752000004,1076
47,53,1333565,35414152.14,1056
48,52,1361939,36167652.084,1037
49,51,1390313,36921152.028000005,1017
50,50,1418686,37674625.416,997
51,49,1447060,38428125.36,977
52,48,1475434,39181625.304,957
53,47,1503808,39935125.248,937
54,46,1532181,40688598.636,917
55,45,1560555,41442098.58,897
56,44,1588929,42195598.524000004,877
57,43,1617302,42949071.912,857
58,42,1645676,43702571.856,837
59,41,1674050,44456071.800000004,817
60,40,1702424,45209571.744,797
61,39,1730797,45963045.132,778
62,38,1759171,46716545.076000005,758
63,37,1787545,47470045.02,738
64,36,1815918,48223518.408,718
65,35,1844292,48977018.352,698
66,34,1872666,49730518.296000004,678
67,33,1901040,50484018.24,658
68,32,1929413,51237491.628,638
69,31,1957787,51990991.572000004,618
70,30,1986161,52744491.516,598
71,29,2014534,53497964.904,578
72,28,2042908,54251464.848000005,558
73,27,2071282,55004964.792,538
74,26,2099656,55758464.736,519
75,25,2128029,56511938.124000005,499
76,24,2156403,57265438.068,479
77,23,2184777,58018938.012,459
78,22,2213150,58772411.4,439
79,21,2241524,59525911.344000004,419
80,20,2269898,60279411.288,399
81,19,2298272,61032911.232,379
82,18,2326645,61786384.620000005,359
83,17,2355019,62539884.564,339
84,16,2383393,63293384.508,319
85,15,2411766,64046857.896000005,299
86,14,2440140,64800357.84,279
87,13,2468514,65553857.784,260
88,12,2496888,66307357.728,240
89,11,2525261,67060831.116000004,220
90,10,2553635,67814331.06,200
91,9,2582009,68567831.00400001,180
92,8,2610383,69321330.948,160
93,7,2638756,70074804.336,140
94,6,2667130,70828304.28,120
95,5,2695504,71581804.224,100
96,4,2723877,72335277.612,80
97,3,2752251,73088777.55600001,60
98,2,2780625,73842277.5,40
99,1,2808999,74595777.444,20
100,0,2837372,75349250.832,0
